# peacockdb cost-model calibration record. One row per call — per
# (plan node, recipe step, call index), not per node and not per output partition: one
#   plan node publishes several recipe steps, and a batched run drives each of them once
#   per batch per lane. A call answering with several output partitions is still one row,
#   its cost summed over the regions it opened.
# A benchmark executes its plan several times and writes every measured execution, in
#   the order they ran; the .benchmark.txt beside it reports one chosen run instead. So
#   the same (query, mode, node_seq, recipe_seq, call_index) recurs once per execution,
#   told apart by run_index. Spread across executions is data.
# One file is one run. The `# run:` lines below hold what is constant across it, and each
#   of them changes what the microseconds mean — so appending a run that disagrees with
#   them is refused rather than merged.
# capture = which Nsight pass measured this, `none` for a plain run. Tracing and the
#   memory counters each cost the query several percent, so a captured run writes this
#   file and never the .benchmark.txt tree.
# mode = the batch-partitioned planning mode, `tp4-sized` and the like. The same query
#   at two modes is a different plan and a different set of calls.
# node_seq = the node's position in the tree, post-order — the same space recipe_seq is
#   in. The driver numbers nodes pre-order, so this is a translation and not the index a
#   report is walked by.
# lane = the lane the node was driven on. A scatter is driven on one and emits into four,
#   a cross-lane accumulator the other way round; a call belongs to the driving one.
# recipe_seq = the seq the call addressed in the FlatBuffers plan. Deliberately a different
#   index from node_seq: one plan node with two calls is one tree position and two fb ones.
# recipe_kind = what the call addressed: the fb node kind, `CudfAggregate{Partial}` and
#   the like, or the ABI symbol for the two calls that address no wire node — a slice and
#   an export. Redundant given the plan, and written so a row is readable without one.
# call_index = which call of this recipe_seq the session had reached, 0 for the first.
#   The number C++ counts to independently, and the key the two halves of a measurement
#   meet on.
# run_index = which execution of the case, 0 for the first measured one — the warm-up is
#   not written. Derivable from a repeat of call_index 0 and written anyway, so that a
#   file joined against this one (hbm.tsv) names the same execution by the same number
#   rather than by its own count of the same boundary.
# in_rows/in_bytes = what the caller handed over, summed over the call's input slots. For
#   a call in the middle of a node's chain, what the call before it answered with — which
#   is the only side that ever priced that handle.
# out_rows/out_bytes = what the call answered with, summed over its output partitions.
#   Priced on this side from the rows the ABI reported and the schema that output belongs
#   to; C++ prices nothing. The two calls no batch is built from — an aggregate before its
#   finalize, the concat before a merge — are priced with the node's intermediate schema.
# host_us = the steady clock across the whole call, summed over its regions. Not launch
#   cost: cuDF and rmm synchronize internally, so it follows device_us closely.
# device_us = between the region's CUDA events, on the one stream everything is issued
#   to. An interval of that stream, not a figure for the device as a whole.
# hbm_bytes is not here: it comes from Nsight and joins on the same tuple.
# run: timing_mode=events
# run: build=release
# run: allocator=rmm-pool initial=69.0GiB max=69.0GiB of 139.3GiB free on a discrete device
# run: capture=none
dataset	sf	query	mode	node_seq	node_type	lane	recipe_seq	recipe_kind	call_index	run_index	in_rows	in_bytes	out_rows	out_bytes	host_us	device_us
tpch	40	q19	tp1-single	9	GpuUnload	0	10	result_from_handle	1	0	1	17	1	17	67	65
tpch	40	q19	tp1-single	8	GpuProject	0	10	CudfProject	0	0	1	17	1	17	6	5
tpch	40	q19	tp1-single	7	GpuAggregateBatches	0	7	CudfCoalescePartitions	0	0	1	17	1	17	16	3
tpch	40	q19	tp1-single	7	GpuAggregateBatches	0	8	CudfAggregate{Merge}	0	0	1	17	1	17	517	155
tpch	40	q19	tp1-single	7	GpuAggregateBatches	0	9	CudfProject{finalize}	0	0	1	17	1	17	9	7
tpch	40	q19	tp1-single	6	GpuAggregate	0	6	CudfAggregate{Partial}	0	0	4526	145964	1	17	360	745
tpch	40	q19	tp1-single	5	GpuHashJoin	0	5	CudfHashJoin{Inner}	0	0	5162405	291265014	4526	145964	3963	3855
tpch	40	q19	tp1-single	2	GpuCoalesceAllBatches	0	2	CudfCoalescePartitions	0	0	19343	682010	19343	682010	121	120
tpch	40	q19	tp1-single	1	GpuFilter	0	1	CudfFilter	0	0	8000000	288601447	19343	682010	6817	6815
tpch	40	q19	tp1-single	0	GpuLoadParquet	0	0	CudfScan	0	0	0	0	8000000	288601447	24758	24756
tpch	40	q19	tp1-single	4	GpuFilter	0	4	CudfFilter	0	0	240012290	19449460578	5143062	290583004	52986	53107
tpch	40	q19	tp1-single	3	GpuLoadParquet	0	3	CudfScan	0	0	0	0	240012290	19449460578	240175	244301
tpch	40	q19	tp1-single	9	GpuUnload	0	10	result_from_handle	1	1	1	17	1	17	68	67
tpch	40	q19	tp1-single	8	GpuProject	0	10	CudfProject	0	1	1	17	1	17	6	5
tpch	40	q19	tp1-single	7	GpuAggregateBatches	0	7	CudfCoalescePartitions	0	1	1	17	1	17	8	3
tpch	40	q19	tp1-single	7	GpuAggregateBatches	0	8	CudfAggregate{Merge}	0	1	1	17	1	17	536	152
tpch	40	q19	tp1-single	7	GpuAggregateBatches	0	9	CudfProject{finalize}	0	1	1	17	1	17	8	7
tpch	40	q19	tp1-single	6	GpuAggregate	0	6	CudfAggregate{Partial}	0	1	4526	145964	1	17	369	770
tpch	40	q19	tp1-single	5	GpuHashJoin	0	5	CudfHashJoin{Inner}	0	1	5162405	291265014	4526	145964	3956	3848
tpch	40	q19	tp1-single	2	GpuCoalesceAllBatches	0	2	CudfCoalescePartitions	0	1	19343	682010	19343	682010	111	110
tpch	40	q19	tp1-single	1	GpuFilter	0	1	CudfFilter	0	1	8000000	288601447	19343	682010	6693	6691
tpch	40	q19	tp1-single	0	GpuLoadParquet	0	0	CudfScan	0	1	0	0	8000000	288601447	15529	15527
